Venue Categories,Venue Type,Indoor or Outdoor
Motorcycle Shop,Retail,Indoor
Boxing Gym,Entertainment,Indoor
Israeli Restaurant,Restaurant,Indoor
Market,Retail,Indoor
Film Studio,Entertainment,Indoor
Farm,Entertainment,Outdoor
Gymnastics Gym,Entertainment,Indoor
Szechuan Restaurant,Restaurant,Indoor
Whisky Bar,Restaurant,Indoor
Tea Room,Entertainment,Indoor
Vape Store,Retail,Indoor
Garden Center,Entertainment,Outdoor
Coworking Space,Retail,Indoor
Fruit & Vegetable Store,Retail,Indoor
Korean Restaurant,Restaurant,Indoor
Ramen Restaurant,Restaurant,Indoor
Used Bookstore,Retail,Indoor
Burmese Restaurant,Restaurant,Indoor
Accessories Store,Retail,Indoor
Frozen Yogurt Shop,Retail,Indoor
Toy / Game Store,Retail,Indoor
Organic Grocery,Retail,Indoor
Dive Bar,Restaurant,Indoor
Butcher,Retail,Indoor
Theater,Entertainment,Indoor
Colombian Restaurant,Restaurant,Indoor
Concert Hall,Entertainment,Indoor
Performing Arts Venue,Entertainment,Indoor
Opera House,Entertainment,Indoor
Board Shop,Retail,Indoor
Climbing Gym,Entertainment,Outdoor
Ethiopian Restaurant,Restaurant,Indoor
Basketball Stadium,Entertainment,Outdoor
Indoor Play Area,Entertainment,Indoor
Hot Dog Joint,Restaurant,Indoor
Daycare,Retail,Indoor
Piano Bar,Restaurant,Indoor
Garden,Entertainment,Outdoor
Indie Theater,Entertainment,Indoor
Bistro,Restaurant,Indoor
Pet Service,Retail,Indoor
Kitchen Supply Store,Retail,Indoor
Circus,Entertainment,Indoor
College Arts Building,Entertainment,Indoor
Fountain,Entertainment,Outdoor
Community Center,Entertainment,Both
Scandinavian Restaurant,Restaurant,Indoor
Moroccan Restaurant,Restaurant,Indoor
Pet Café,Retail,Indoor
Swiss Restaurant,Restaurant,Indoor
Taiwanese Restaurant,Restaurant,Indoor
Argentinian Restaurant,Restaurant,Indoor
Sake Bar,Restaurant,Indoor
Ukrainian Restaurant,Restaurant,Indoor
Office,Retail,Indoor
Russian Restaurant,Restaurant,Indoor
Kebab Restaurant,Restaurant,Indoor
Halal Restaurant,Restaurant,Indoor
Dumpling Restaurant,Restaurant,Indoor
General Entertainment,Entertainment,Indoor
Government Building,Retail,Indoor
Gym Pool,Entertainment,Indoor
Arts & Entertainment,Entertainment,Indoor
Hostel,Hotel,Indoor
Post Office,Retail,Indoor
Skating Rink,Entertainment,Outdoor
Tibetan Restaurant,Restaurant,Indoor
Rental Service,Retail,Indoor
North Indian Restaurant,Restaurant,Indoor
Mattress Store,Retail,Indoor
Sports Bar,Entertainment,Indoor
Lake,Entertainment,Outdoor
Tiki Bar,Restaurant,Indoor
Drugstore,Retail,Indoor
Planetarium,Entertainment,Indoor
Hawaiian Restaurant,Restaurant,Indoor
Bike Shop,Retail,Indoor
Malay Restaurant,Restaurant,Indoor
Gay Bar,Restaurant,Indoor
Church,Entertainment,Indoor
Distillery,Retail,Indoor
Antique Shop,Retail,Indoor
Factory,Retail,Indoor
Street Food Gathering,Retail,Indoor
Motel,Hotel,Indoor
Baseball Stadium,Entertainment,Indoor
Cruise Ship,Entertainment,Indoor
Tech Startup,Retail,Indoor
Photography Studio,Retail,Indoor
College Theater,Entertainment,Indoor
Golf Driving Range,Entertainment,Outdoor
Racetrack,Entertainment,Outdoor
Rock Club,Entertainment,Indoor
Mini Golf,Entertainment,Outdoor
Herbs & Spices Store,Retail,Indoor
Multiplex,Entertainment,Indoor
Tattoo Parlor,Retail,Indoor
Austrian Restaurant,Restaurant,Indoor
Animal Shelter,Retail,Indoor
Sports Club,Entertainment,indoor
Cooking School,Retail,Indoor
Event Service,Retail,Indoor
Jewish Restaurant,Restaurant,Indoor
Resort,Entertainment,Outdoor
Karaoke Bar,Entertainment,Indoor
Bath House,Retail,Indoor
